label,text
Bladder Cancer,I’ve had lower back pain that doesn’t improve with rest
Crohn's Disease,I've seen signs of diarrhea along with fatigue.
Diphtheria,My doctor mentioned that my fever could be related to Diphtheria.
Multiple Sclerosis,"Whenever I rest, the numbness seems to intensify."
Acute Lymphoblastic Leukaemia,"Whenever I rest, the fatigue seems to intensify."
Graves' Disease,My doctor mentioned that my bulging eyes could be related to Graves' Disease.
Malaria,"Whenever I rest, the fever seems to intensify."
Dengue,"There is a persistent issue with fever, and I'm concerned."
Cervical Spondylosis,"I've been struggling with back pain, a chronic cough, and limb weakness. I've been feeling disoriented and weak on my feet, and my neck hurts."
Endometriosis,I've seen signs of pain during sex along with fatigue.
Tuberculosis,My doctor mentioned that my night sweats could be related to Tuberculosis.
Common Cold,"I've been experiencing severe weariness and a sickly sensation. My throat has been really painful and I've had a fairly severe cough. My nose has been quite stuffy, and I've had significant sinus pressure. I'm really miserable and extremely exhausted."
Impetigo,My cheeks and nose are covered with red sores. I've observed that the rash on my neck and chest is spreading faster. I am also developing a mild fever.
Drug Reaction,"My body itches all over, and I have rashes on my back and chest. My skin can be flaky on sometimes, which commonly results in body marks."
Pneumonia,"Lately, I noticed fever, which is unusual for me."
Dengue,The headache I have been experiencing is severe and is accompanied by a feeling of pressure in my head. I have mild fever along with headache. There are small red spots on my back.
Multiple Sclerosis,I've seen signs of numbness along with fatigue.
Ehlers-Danlos Syndrome,I'm feeling discomfort due to joint hypermobility.
Cervical Spondylosis,"I've been having intermittent coughing fits, significant back pain, and limb weakness. I've been experiencing neck pain as well as a dizzy and unsteady sensation."
Acne,"Lately, I noticed fatigue, which is unusual for me."
Hypertension,"Along with chest pain, dizziness, and a headache that feels like a narrow zone around my head, I have been having a lot of trouble."
Impetigo,"The rashes on my face are not healing. I tried some medications but it is not helping much. Recently, I noticed small sores near my nose. They are painful and very difficult to handle."
Psoriasis,I've seen signs of itchy red skin along with fatigue.
Multiple Sclerosis,I have tingling and also noticed related problems recently.
Arthritis,"It started with rash, but now it's spreading."
Dengue,I have rash and also noticed related problems recently.
Migraine,"Along with excessive appetite, a stiff neck, depression, impatience, and visual disturbance, I've also been suffering indigestion, headaches, blurred vision, and stomach problems."
Dimorphic Hemorrhoids,My doctor mentioned that my fatigue could be related to Dimorphic Hemorrhoids.
Diabetes,My doctor mentioned that my frequent urination could be related to Diabetes.
Myasthenia Gravis,I've seen signs of drooping eyelids along with fatigue.
Tuberculosis,My cough gets triggered by strong smells.
Typhoid,"Whenever I rest, the pain seems to intensify."
Diabetes,"Lately, I noticed slow healing wounds, which is unusual for me."
Pneumonia,"Lately, I noticed rash, which is unusual for me."
Pneumonia,"I've been having chills and feeling exhausted, and I can't seem to shake this cough. My chest hurts when I cough, and my heart feels like it's going a million miles an hour. The phlegm I'm coughing up is a dirty rust color."
Common Cold,"I'm coughing nonstop and am really chilly. My mucus production is excessive, and my sinuses are fully clogged. I can't smell anything, and my chest hurts. My muscles are quite painful as well."
Myasthenia Gravis,My doctor mentioned that my fatigue could be related to Myasthenia Gravis.
Acne,"Whenever I rest, the cough seems to intensify."
Varicose Veins,"There is a persistent issue with pain, and I'm concerned."
Meniere's Disease,I've seen signs of tinnitus along with fatigue.
Ehlers-Danlos Syndrome,"I've been having skin elasticity, and it's been getting worse."
Impetigo,"The rash on my face has become more painful and inflamed over the past few days, and the sores are beginning to weep clear fluid. It is getting extremely painful with each day."
Bronchial Asthma,"Lately, I noticed fatigue, which is unusual for me."
Hiv/Aids,My doctor mentioned that my pain could be related to Hiv/Aids.
Dengue,My doctor mentioned that my rash could be related to Dengue.
Cushing's Syndrome,"I've been having weight gain, and it's been getting worse."
Cervical Spondylosis,"I've had back pain, a persistent cough, and weakness in my arms and legs. My neck hurts, and I've been feeling off-balance and woozy."
Chronic Kidney Disease,"It started with rash, but now it's spreading."
Psoriasis,"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too."
Common Cold,"Whenever I rest, the fever seems to intensify."
Dengue,My doctor mentioned that my pain could be related to Dengue.
Dengue,"I have been feeling extremely tired and fatigued, and I have no energy to do anything. I have developed rashes on my neck, which itch upon touching. "
Myasthenia Gravis,I'm feeling discomfort due to double vision.
Psoriasis,My doctor mentioned that my joint pain could be related to Psoriasis.
Ebola Virus,"There is a persistent issue with pain, and I'm concerned."
Urinary Tract Infection,"Since a few days ago, I've been experiencing low temperatures and bloody urination. My head is in excruciating pain, and my urine smells awful. I can hardly control when I urinate, and the impulses come on suddenly."
Sjogren's Syndrome,"There is a persistent issue with fatigue, and I'm concerned."
Urinary Tract Infection,"Lately, I noticed cough, which is unusual for me."
Endometriosis,I have fatigue and also noticed related problems recently.
Sjogren's Syndrome,I have joint pain and also noticed related problems recently.
Acute Lymphoblastic Leukaemia,I'm feeling discomfort due to fever.
Arthritis,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have swollen, creating it troublesome on behalf of me to run regarding while not changing into stiff. Walking has additionally been agonizingly uncomfortable."
Diabetes,"Lately, I noticed frequent urination, which is unusual for me."
Myasthenia Gravis,My doctor mentioned that my muscle weakness could be related to Myasthenia Gravis.
Peptic Ulcer Disease,I've been experiencing bowel movements that are both constipated and diarrhoeic. I often lack the will to eat and energy.
Hypertension,"I have been experiencing chest pain, dizziness, and a headache that feels like a continual pressure in my forehead."
Tuberculosis,"I've been having weight loss, and it's been getting worse."
Common Cold,"I've been feeling really tired and sick. I've been sneezing a lot and I can't seem to get warm. I'm so tired and my head is killing me. And my fever is really high, like I'm boiling."
Bladder Cancer,I've seen signs of fever along with fatigue.
Acute Lymphoblastic Leukaemia,"I've been having fever, and it's been getting worse."
Ebola Virus,My skin feels hot and looks flushed all over
Dimorphic Hemorrhoids,"Since I've been constipated, using the restroom has been quite challenging. When I do go, it aches and I've had blood in my stool. My anus has been quite itchy and irritating, and I've also been experiencing some discomfort in my butt."
Peptic Ulcer Disease,I'm feeling discomfort due to fatigue.
Crohn's Disease,The abdominal pain is affecting my daily life significantly.
Cystic Fibrosis,I have persistent cough and also noticed related problems recently.
Diphtheria,"I thought it was just a sore throat, but it’s not going away"
Cystic Fibrosis,"I've been having poor growth, and it's been getting worse."
Myasthenia Gravis,"There is a persistent issue with muscle weakness, and I'm concerned."
Multiple Sclerosis,"I've been having vision loss, and it's been getting worse."
Bladder Cancer,My urine looked pink this morning and I haven’t eaten anything unusual
Parkinson's Disease,"I've been having impaired balance, and it's been getting worse."
Bladder Cancer,There’s no pain but my urine looks darker than usual
Graves' Disease,"Lately, I noticed goiter, which is unusual for me."
Crohn's Disease,"I've been having fatigue, and it's been getting worse."
Ebola Virus,"Whenever I rest, the fever seems to intensify."
